"country","age_cat","cases","PT","IR"
"Pakistan","<6 m",29,1467,1.97682344921609
"Pakistan","6-11 m",29,1535,1.88925081433225
"Pakistan","12-23 m",26,2916,0.891632373113855
"Pakistan","24-35 m",1,857,0.116686114352392
