"country","age_cat","cases","PT","IR"
"Bangladesh","<6 m",55,1415,3.886925795053
"Bangladesh","6-11 m",103,1379,7.46918056562727
"Bangladesh","12-23 m",70,2515,2.78330019880716
"Bangladesh","24-35 m",3,739,0.40595399188092
