"country","age_cat","cases","PT","IR"
"Pakistan","<6 m",41,1467,2.79481935923654
"Pakistan","6-11 m",39,1535,2.54071661237785
"Pakistan","12-23 m",41,2916,1.40603566529492
"Pakistan","24-35 m",3,857,0.350058343057176
