Metric,Target,Model,Difference,Relative Error (%)
Incidence (per 100k),27.56,6.537534789024413,-21.022465210975586,-76.28
Age 0-11m (%),13.769751693002261,14.285714285714285,0.5159625927120235,3.75
Age 12-23m (%),27.668494034182523,0.0,-27.668494034182523,-100.0
Age 24-59m (%),46.88810061270558,14.285714285714288,-32.602386326991294,-69.53
Age 5+ years (%),11.67365366010964,71.42857142857142,59.75491776846178,511.88
